Box SKU,QTY,WH,Dog Size List,Heavy Chewer,Allergies,Extra Toy,Extra Treat,Item SKUs,Theme,Info Card Name,,[400 SKU],[Percent of Plan],[Year],[Month],[Cohort],[Species],[Add Ons],[Product List],[P],[A],[W],[S],[Total PAWS],[Paper SKU],[Cardboard SKU],[Info Card 1],[Info Card 2],[XT Insert],[XTR Insert],,[All COG],[Base COG],[Freight COG],[Extra Toy COG],[Extra Treat COG],[Base Kit Cost],[XT Unit Cost],[Full Kit Cost],[Potential Add QTY],[QTY To Build],[QTY Overbuilt],[Total Built],[Back Ordered],[Available],[Shipped]
601333N,950,NV,"L,",NO,YES,NO,NO,"204759,204771,204752,204754,204382,IN-COL0716,",Olympics,Olympics,,201JUL-252,0.003994248,2016,JULY,CONTINUITY,L0A00,None,"204759,204771,204752,204754,204382,",4,4,4,4,16,500021-16R,500018,IN-COL0716,,,,,8204.2,7634.2,570,0,0,8.036,,8.036,-43612,950,0,None Found,None Found,None Found,None Found
601332C,1070,CT,"L,",NO,YES,NO,NO,"204759,204762,204752,204754,204382,IN-COL0716,",Olympics,Olympics,,201JUL-243,0.004498785,2016,JULY,CONTINUITY,L0A00,None,"204759,204762,204752-1711,204754-1711,204382,",4,4,4,4,16,500021-16,500018,IN-COL0716,,,,,9882.52,9240.52,642,0,0,8.636,,8.636,87,1070,0,None Found,None Found,None Found,None Found
601331XC,400,CT,"L,",NO,YES,YES,NO,"204759,204762,204752,204754,204382,204760,IN-COL0716,XT-204760,",Olympics,Olympics,,201JUL-234X,0.001681789,2016,JULY,CONTINUITY,L0AX0,X,"204759,204762,204752-1711,204754-1711,204382,204760,",4,4,4,4,16,500021-16,500018,IN-COL0716,,XT-204760,,,4694.4,3454.4,340,900,0,8.636,2.25,10.886,87,400,0,None Found,None Found,None Found,None Found
601330XN,970,NV,"L,",YES,NO,YES,NO,"204759,204762,204752,204751,204774,204760,IN-COL0716,XT-204760,",Olympics,Olympics,,201JUL-225X,0.004078338,2016,JULY,CONTINUITY,LH0X0,X,"204759,204762,204752,204751,204774,204760,",4,4,4,3,15,500021-16R,500007,IN-COL0716,,XT-204760,,,12006.66,9048.16,776,2182.5,0,9.328,2.25,11.578,-43612,970,0,None Found,None Found,None Found,None Found
601330N,4900,NV,"L,",YES,NO,NO,NO,"204759,204762,204752,204751,204774,IN-COL0716,",Olympics,Olympics,,201JUL-225,0.020601912,2016,JULY,CONTINUITY,LH000,None,"204759,204762,204752,204751,204774,",4,4,4,3,15,500021-16R,500007,IN-COL0716,,,,,48402.2,45707.2,2695,0,0,9.328,,9.328,-43612,4900,0,None Found,None Found,None Found,None Found
601329XC,2630,CT,"L,",YES,NO,YES,NO,"204759,204762,204752,204751,204774,204760,IN-COL0716,XT-204760,",Olympics,Olympics,,201JUL-216X,0.011057761,2016,JULY,CONTINUITY,LH0X0,X,"204759,204762,204752-1711,204751,204774,204760,",4,4,4,4,16,500021-16,500007,IN-COL0716,,XT-204760,,,32554.14,24532.64,2104,5917.5,0,9.328,2.25,11.578,36,2630,0,None Found,None Found,None Found,None Found
601329C,4200,CT,"L,",YES,NO,NO,NO,"204759,204762,204752,204751,204774,IN-COL0716,",Olympics,Olympics,,201JUL-216,0.017658782,2016,JULY,CONTINUITY,LH000,None,"204759,204762,204752-1711,204751,204774,",4,4,4,4,16,500021-16,500007,IN-COL0716,,,,,41487.6,39177.6,2310,0,0,9.328,,9.328,36,4200,0,None Found,None Found,None Found,None Found
601328XN,8870,NV,"L,",NO,NO,YES,NO,"204759,204771,204752,204751,204774,204760,IN-COL0716,XT-204760,",Olympics,Olympics,,201JUL-207X,0.037293666,2016,JULY,CONTINUITY,L00X0,X,"204759,204771,204752,204751,204774,204760,",4,4,4,4,16,500021-16R,500018,IN-COL0716,,XT-204760,,,104470.86,77417.36,7096,19957.5,0,8.728,2.25,10.978,-43612,8870,0,None Found,None Found,None Found,None Found
601328N,25820,NV,"L,",NO,NO,NO,NO,"204759,204771,204752,204751,204774,IN-COL0716,",Olympics,Olympics,,201JUL-207,0.108559464,2016,JULY,CONTINUITY,L0000,None,"204759,204771,204752,204751,204774,",4,4,4,4,16,500021-16R,500007,IN-COL0716,,,,,239557.96,225356.96,14201,0,0,8.728,,8.728,-43612,25820,0,None Found,None Found,None Found,None Found
601327XC,200,NV,"L,",NO,NO,YES,NO,"204759,204771,204752,204751,204774,204761,IN-COL0716,XT-204760,",Olympics,Olympics,,201JUL-198X,0.055877431,2016,JULY,CONTINUITY,L00X0,X,"204759,204771,204752-1711,204751,204774,204760,",4,4,4,4,16,500021-16,500018,IN-COL0716,,XT-204760,,,156529.62,115995.12,10632,29902.5,0,8.728,2.25,10.978,36,13290,0,None Found,None Found,None Found,None Found
